,sorted_formula,host_material,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
3124,Co19NiSb58SeTe,CoSb3,ZT,,[0.83],[800.0],0.8300000000000001,800.0,JMC_data
3125,Co19NiSb58SeTe,CoSb3,ZT,,[0.83],[800.0],0.8300000000000001,800.0,JMC_data
3126,Co19NiSb58SeTe,CoSb3,ZT,,[0.83],[800.0],0.8300000000000001,800.0,JMC_data
3127,La10O300Sr89Ti100Yb,LaO30Sr9Ti10,ZT,,[0.2],[963.0],0.2,963.0,JMC_data
3128,LaO60Sr19Ti20,O3SrTi,ZT,,[0.15],[773.0],0.15,773.0,JMC_data
3129,O3SrTi,O3SrTi,ZT,,[0.37],[1000.0],0.37,1000.0,JMC_data
3130,Dy7La10O300Sr83Ti100,LaO30Sr9Ti10,ZT,,[0.36],[1045.0],0.36,1045.0,JMC_data
3131,Bi2Te3,Bi2Te3,ZT,,[1.1],[482.0],1.1,482.0,JMC_data
3132,Ga2Te3,Ga2Te3,ZT,,[1.0],[335.5],1.0,335.5,JMC_data
3133,Bi2Te3,Bi2Te3,ZT,,[1.0],[295],1.0,295.0,JMC_data
