,sorted_formula,host_material,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
1636,Tl,Tl,Seebeck,,[0.00015],[300.0],0.00015,300.0,JMC_data
1637,PbTe,PbTe,Seebeck,,"[0.000125, 0.00015]",[300.0],0.00013749999999999998,300.0,JMC_data
1638,Mg40Si7Sn13,Mg6SiSn2,Seebeck,,[-0.000518],[450.0],-0.000518,450.0,JMC_data
1639,Mg40Si7Sn13,Mg6SiSn2,Seebeck,,[-0.000518],[500.0],-0.000518,500.0,JMC_data
1640,GdMn2O6Sr,None,Seebeck,,[0.9],[50.0],0.9,50.0,JMC_data
1641,Cu2S3Sn,Cu2S3Sn,Seebeck,,[8.669999999999999e-05],[300.0],8.669999999999999e-05,300.0,JMC_data
1642,Bi8Eu11Sn2,None,Seebeck,,[-1e-06],[300.0],-1e-06,300.0,JMC_data
1643,Ca3Co4O9,Ca3Co4O9,Seebeck,,[0.00015],[295],0.00015,295.0,JMC_data
1644,BiCuOSe,BiCuOSe,Seebeck,,[0.00035],[300.0],0.00035000000000000005,300.0,JMC_data
1645,perovskite,None,Seebeck,,[-0.0003],[1200.0],-0.00030000000000000003,1200.0,JMC_data
1646,OZn,OZn,Seebeck,,[0.00047799999999999996],[295],0.000478,295.0,JMC_data
1647,Bi2Te3,Bi2Te3,Seebeck,,[0.00021],[320.0],0.00021,320.0,JMC_data
1648,DEOPT,None,Seebeck,,[2.86e-05],[350.0],2.8600000000000004e-05,350.0,JMC_data
1649,CNT,None,Seebeck,,[2.74e-06],[350.0],2.74e-06,350.0,JMC_data
1650,SnTe,SnTe,Seebeck,,[7.999999999999999e-05],[295],8e-05,295.0,JMC_data
1651,La,La,Seebeck,,[-0.00018199999999999998],[423.0],-0.000182,423.0,JMC_data
1652,Cu20La37O80Sr3,Cu6La12O25,Seebeck,,[3.9999999999999996e-05],[290.0],4e-05,290.0,JMC_data
1653,DEOPT,None,Seebeck,,"[1.505e-05, 1.851e-05]",[300.0],1.6780000000000002e-05,300.0,JMC_data
1654,CSi,CSi,Seebeck,,[0.000225],[295],0.000225,295.0,JMC_data
1655,CSi,CSi,Seebeck,,[0.00014],[295],0.00014,295.0,JMC_data
1656,BiSbTe,None,Seebeck,,[0.000207],[303.0],0.000207,303.0,JMC_data
1657,Ni10Sn10TiZr9,NiSnZr,Seebeck,,[-7.8e-05],[300.0],-7.8e-05,300.0,JMC_data
1658,DEOPT,None,Seebeck,,[1.6499999999999998e-05],[300.0],1.6499999999999998e-05,300.0,JMC_data
1659,Ag2Te,Ag2Te,Seebeck,,[-0.00014199999999999998],[468.0],-0.00014199999999999998,468.0,JMC_data
