,sorted_formula,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
1918,ES2,Conductivity,ionic,[0.1],[295],0.1,295.0,JMC_data
1919,Li2S,Conductivity,ionic,[9.999999999999999e-06],[298.0],1e-05,298.0,JMC_data
1920,Li2S,Conductivity,ionic,"[1000.0, 1300.0]",[298.0],1150.0,298.0,JMC_data
1921,PbTe,Conductivity,,[8100.0],[300.0],8100.0,300.0,JMC_data
1922,DEOPT,Conductivity,,"[10.0, 310.0]",[300.0],160.0,300.0,JMC_data
1923,Bi23Sb77Te150,Conductivity,,[85000.0],[295],85000.0,295.0,JMC_data
1924,TeZn,Conductivity,,[220000.0],[300.0],220000.0,300.0,JMC_data
1925,Ni40SbSn39Ti4Zr36,Conductivity,,[420000.0],[300.0],420000.0,300.0,JMC_data
1926,DEOPT,Conductivity,,[129000.0],[300.0],129000.0,300.0,JMC_data
1927,Ag2Te,Conductivity,,[9530.0],[468.0],9530.0,468.0,JMC_data
1928,ClK,Conductivity,,[0.014700000000000001],[298.0],0.0147,298.0,JMC_data
1929,OZn,Conductivity,,[3000.0],[295],3000.0,295.0,JMC_data
1930,Cl2Ni,Conductivity,,"[2720.0, 4730.0]",[295],3725.0,295.0,JMC_data
1931,BiCuOSe,Conductivity,,[2890.0],[750.0],2890.0,750.0,JMC_data
1932,Bi39Cu40O39SSe40Zn,Conductivity,,[4330.0],[750.0],4330.0,750.0,JMC_data
1933,Bi2Te3,Conductivity,,[10200.0],[295],10200.0,295.0,JMC_data
1934,O5V2,Conductivity,,[50.0],[295],50.0,295.0,JMC_data
1935,Pristine,Conductivity,,[632000.0],[295],632000.0,295.0,JMC_data
1936,SnTe,Conductivity,,[632000.0],[295],632000.0,295.0,JMC_data
1937,BiSbSe3,Conductivity,,[0.05],[295],0.05,295.0,JMC_data
1938,Mn100Si173,Conductivity,,[25300.0],[773.0],25300.0,773.0,JMC_data
1939,Mn100Si173,Conductivity,,[32400.0],[773.0],32400.0,773.0,JMC_data
1940,OZn,Conductivity,,[3740.0],[333.0],3740.0,333.0,JMC_data
1941,Bi2Te3,Conductivity,,[10000.0],[473.0],10000.0,473.0,JMC_data
1942,Sb2Te3,Conductivity,,[67200.0],[573.0],67200.0,573.0,JMC_data
1943,Bi2Te3,Conductivity,,[51900.0],[573.0],51900.0,573.0,JMC_data
1944,BiCuOSe,Conductivity,,[273000.0],[295],273000.0,295.0,JMC_data
1945,Ba2O22Ti13,Conductivity,,[32050.0],[300.0],32050.0,300.0,JMC_data
1946,BC,Conductivity,,[0.21],[295],0.21,295.0,JMC_data
1947,BC,Conductivity,,[3.63],[573.0],3.63,573.0,JMC_data
1948,DEOPT,Conductivity,,"[80.0, 8000.0]",[295],4040.0,295.0,JMC_data
1949,DEOPT,Conductivity,,[900.0],[295],900.0,295.0,JMC_data
1950,DEOPT,Conductivity,,[29852.0],[295],29852.0,295.0,JMC_data
1951,DEOPT,Conductivity,,[6313.0],[295],6313.0,295.0,JMC_data
1952,DEOPT,Conductivity,,[1930.0],[295],1930.0,295.0,JMC_data
1953,Co16Sb47Te,Conductivity,,[80000.0],[323.0],80000.0,323.0,JMC_data
1954,Co16Sb47Te3,Conductivity,,[200000.0],[323.0],200000.0,323.0,JMC_data
1955,AINP,Conductivity,,[13.899999999999999],[383.0],13.9,383.0,JMC_data
1956,AINP,Conductivity,,[0.8500000000000001],[383.0],0.85,383.0,JMC_data
1957,Cu197S100,Conductivity,,"[18500.0, 12000.0]","[700.0, 1000.0]",15250.0,850.0,JMC_data
1958,Cu197S100,Conductivity,,[3000.0],[973.0],3000.0,973.0,JMC_data
1959,AgSbSe2,Conductivity,,[2600.0],[295],2600.0,295.0,JMC_data
1960,Ag100NaSb99Se200,Conductivity,,[6000.0],[295],6000.0,295.0,JMC_data
1961,Ag50NaSb49Se100,Conductivity,,[4600.0],[295],4600.0,295.0,JMC_data
1962,Ga2In48O75,Conductivity,,[60000.0],[295],60000.0,295.0,JMC_data
1963,OPS2,Conductivity,,[16.0],[353.0],16.0,353.0,JMC_data
1964,Se,Conductivity,,[37000.0],[295],37000.0,295.0,JMC_data
1965,Cu2Te,Conductivity,,[1250.0],[295],1250.0,295.0,JMC_data
1966,NaPb49Se50,Conductivity,,[114100.0],[295],114100.0,295.0,JMC_data
1967,In2O3,Conductivity,,[4000.0],[1073.0],4000.0,1073.0,JMC_data
1968,SnTe,Conductivity,,[630000.0],[295],630000.0,295.0,JMC_data
1969,SnTe,Conductivity,,[600000.0],[295],600000.0,295.0,JMC_data
1970,Bi2Te3,Conductivity,,[51700.0],[295],51700.0,295.0,JMC_data
1971,Pb100Se100Zn,Conductivity,,[415500.0],[295],415500.0,295.0,JMC_data
1972,Al2O3,Conductivity,,[800.0],[673.0],800.0,673.0,JMC_data
1973,Ca3Co4O9,Conductivity,,[12500.0],[1073.0],12500.0,1073.0,JMC_data
1974,DEOPT,Conductivity,,[50000.0],[295],50000.0,295.0,JMC_data
1975,I80P193Sn240,Conductivity,,[1650.0],[295],1650.0,295.0,JMC_data
1976,SnTe,Conductivity,,"[800000.0, 900000.0]","[140.0, 800.0]",850000.0,470.0,JMC_data
1977,DEOPT,Conductivity,,[105.0],[295],105.0,295.0,JMC_data
1978,DEOPT,Conductivity,,[20.0],[295],20.0,295.0,JMC_data
1979,SeSn,Conductivity,,[3960.0],[580.0],3960.0,580.0,JMC_data
1980,SeSn,Conductivity,,[3960.0],[800.0],3960.0,800.0,JMC_data
1981,LaMo4O24Sr7Ti4,Conductivity,,[164000.0],[517.0],164000.0,517.0,JMC_data
1982,Dy3La2O75Sr20Ti25,Conductivity,,[190000.0],[303.0],190000.0,303.0,JMC_data
1983,O3SrTi,Conductivity,,[2020.0],[570.0],2020.0,570.0,JMC_data
1984,Bi2Te3,Conductivity,,[206999.99999999997],[300.0],207000.0,300.0,JMC_data
1985,CeCuOS,Conductivity,,[100.0],[295],100.0,295.0,JMC_data
1986,CdxPbTe,Conductivity,,[200000.0],[295],200000.0,295.0,JMC_data
1987,SnTe,Conductivity,,[832000.0],[295],832000.0,295.0,JMC_data
1988,SnTe,Conductivity,,[832000.0],[295],832000.0,295.0,JMC_data
1989,Mg2Pb15Sn33Te50,Conductivity,,[83600.0],[300.0],83600.0,300.0,JMC_data
1990,CO2,Conductivity,,[3.59],[283.0],3.59,283.0,JMC_data
1991,Se2Sn,Conductivity,,[100.0],[300.0],100.0,300.0,JMC_data
1992,PbS,Conductivity,,[106000.0],[523.0],106000.0,523.0,JMC_data
1993,PbS,Conductivity,,[20000.0],[823.0],20000.0,823.0,JMC_data
1994,CoNaxO2,Conductivity,,[12000.0],[1200.0],12000.0,1200.0,JMC_data
1995,MoS2,Conductivity,,[104.0],"[323.0, 373.0]",104.0,348.0,JMC_data
1996,CNSTW,Conductivity,,[20000.0],[373.0],20000.0,373.0,JMC_data
1997,MgO,Conductivity,,[230000.0],[295],230000.0,295.0,JMC_data
1998,SSn,Conductivity,,[100.0],[823.0],100.0,823.0,JMC_data
1999,SSn,Conductivity,,[700.0],[295],700.0,295.0,JMC_data
2000,CMNTW,Conductivity,,[49.0],[295],49.0,295.0,JMC_data
2001,O2Ti,Conductivity,,[103.0],[295],103.0,295.0,JMC_data
2002,OxTi,Conductivity,,[2000.0],[350.0],2000.0,350.0,JMC_data
2003,Ca3Co4O9,Conductivity,,[104.0],[1000.0],104.0,1000.0,JMC_data
2004,Ba20Bi18Oy10Rh19,Conductivity,,[213.0],[295],213.0,295.0,JMC_data
2005,Cu,Conductivity,,[110.0],[295],110.0,295.0,JMC_data
2006,O2Zr,Conductivity,,[37500.0],[700.0],37500.0,700.0,JMC_data
2007,Ba4Ga8Ge15,Conductivity,,[90200.0],[300.0],90200.0,300.0,JMC_data
2008,O5V2,Conductivity,,[50.0],[295],50.0,295.0,JMC_data
2009,La3Li7O12TaZr2,Conductivity,,[0.030000000000000002],[295],0.03,295.0,JMC_data
2010,BiCuOTe,Conductivity,,[22400.0],[373.0],22400.0,373.0,JMC_data
2011,BiCuOTe,Conductivity,,[28900.0],[300.0],28900.0,300.0,JMC_data
2012,Ga2Te3,Conductivity,,[0.5],[295],0.5,295.0,JMC_data
2013,Ga2Te3,Conductivity,,[0.5],[295],0.5,295.0,JMC_data
2014,AlCuO2,Conductivity,,[100.0],[295],100.0,295.0,JMC_data
2015,Pure,Conductivity,,[76000.0],[295],76000.0,295.0,JMC_data
