,sorted_formula,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
2811,S,ThermCond,lattice,[0.37],[295],0.37,295.0,JMC_data
2812,Na4Si23,ThermCond,lattice,[2.7],[300.0],2.7,300.0,JMC_data
2813,K4Si23,ThermCond,lattice,[5.2],[300.0],5.2,300.0,JMC_data
2814,Ba4Si23,ThermCond,lattice,[1.0],[300.0],1.0,300.0,JMC_data
2815,Mg2Si,ThermCond,total,[6.0],[295],6.0,295.0,JMC_data
2816,CMNTW,ThermCond,lattice,[1.49],[773.0],1.49,773.0,JMC_data
2817,GeTe,ThermCond,total,[8.0],[300.0],8.0,300.0,JMC_data
2818,GeTe,ThermCond,total,[8.3],[300.0],8.3,300.0,JMC_data
2819,GeTe,ThermCond,total,[8.3],[300.0],8.3,300.0,JMC_data
2820,BiGe9Te10,ThermCond,total,[1.6],[300.0],1.6,300.0,JMC_data
2821,Pristine,ThermCond,electronic,[5.6],[300.0],5.6,300.0,JMC_data
2822,GeTe,ThermCond,lattice,[2.6],[300.0],2.6,300.0,JMC_data
2823,BiGe9Te10,ThermCond,lattice,[1.1],[300.0],1.1,300.0,JMC_data
2824,SeSn,ThermCond,lattice,[0.2],[900.0],0.2,900.0,JMC_data
2825,Cu198Se100Sn,ThermCond,total,[0.76],[823.0],0.76,823.0,JMC_data
2826,Cu98Se50Sn,ThermCond,total,[0.69],[473.0],0.6900000000000001,473.0,JMC_data
2827,Cu38Se20Sn,ThermCond,total,[1.14],[823.0],1.14,823.0,JMC_data
2828,SeSn,ThermCond,lattice,[0.36],[773.0],0.36,773.0,JMC_data
2829,SeSn,ThermCond,lattice,[0.36],[773.0],0.36,773.0,JMC_data
2830,BaS,ThermCond,lattice,[7.0],[295],7.0,295.0,JMC_data
2831,Mn31RuSi56,ThermCond,total,[2.0],[1000.0],2.0,1000.0,JMC_data
2832,FeSb2,ThermCond,lattice,[300.0],[10.0],300.0,10.0,JMC_data
2833,PbTe,ThermCond,lattice,[2.6],[295],2.6,295.0,JMC_data
2834,O3SrTi,ThermCond,total,"[5.0, 9.0]",[295],7.0,295.0,JMC_data
2835,MoS2,ThermCond,total,[0.57],[323.0],0.5700000000000001,323.0,JMC_data
2836,MoS2,ThermCond,total,[0.0001],[323.0],0.0001,323.0,JMC_data
2837,MoS2,ThermCond,total,[0.57],[323.0],0.5700000000000001,323.0,JMC_data
2838,PbS,ThermCond,lattice,[0.77],[823.0],0.77,823.0,JMC_data
2839,CoFe3LaSb12,ThermCond,lattice,[0.9],[800.0],0.9,800.0,JMC_data
2840,Co20Sb55SnTe4,ThermCond,lattice,[1.0],[800.0],1.0,800.0,JMC_data
2841,CoSb3,ThermCond,lattice,[0.8],[611.0],0.8,611.0,JMC_data
2842,CoSb3,ThermCond,lattice,[155.0],[300.0],155.0,300.0,JMC_data
2843,As3Co10Sb27,ThermCond,lattice,[2.6],[300.0],2.6,300.0,JMC_data
2844,CoSb3,ThermCond,lattice,[9.8],[300.0],9.8,300.0,JMC_data
2845,ClCs,ThermCond,lattice,[1.14],[295],1.14,295.0,JMC_data
2846,ClCs,ThermCond,lattice,[1.14],[295],1.14,295.0,JMC_data
2847,SeSn,ThermCond,lattice,[0.9],[295],0.9,295.0,JMC_data
2848,SeSn,ThermCond,lattice,[0.9],[295],0.9,295.0,JMC_data
2849,SeSn,ThermCond,total,"[0.3, 0.8]",[295],0.55,295.0,JMC_data
2850,CoSbTi,ThermCond,lattice,[11.0],[300.0],11.0,300.0,JMC_data
2851,MoS2,ThermCond,total,[0.07],[300.0],0.07,300.0,JMC_data
2852,CSi,ThermCond,total,[1.3],[295],1.3,295.0,JMC_data
