,composition_name,original_file_name
356,Ge2Nd2Zn15,POSCAR_sg166_icsd_094220
357,C1H2N6O2,POSCAR_sg2_icsd_170681
358,K4O21Si8Yb2,POSCAR_sg15_icsd_428600
359,C8H24O8P4Rh2,POSCAR_sg15_icsd_171151
360,F8Th1Zr1,POSCAR_sg14_icsd_081677
361,Na6O4Pb1,POSCAR_sg217_icsd_021059
362,S2Tl2,POSCAR_sg92_icsd_078162
363,F14Sr4Zn3,POSCAR_sg8_icsd_072991
364,B5Cu3Pt9,POSCAR_sg189_icsd_429502
365,C4Gd10I16,POSCAR_sg2_icsd_411283
366,C12H28B1Br7N4O4,POSCAR_sg2_icsd_170835
367,Cs1F7Xe1,POSCAR_sg198_icsd_404986
368,Nb2Se9,POSCAR_sg2_icsd_008179
369,Nb2P1S10,POSCAR_sg18_icsd_033233
370,Ba3Li1O9Os2,POSCAR_sg194_icsd_281247
371,H4K2N4O10Pd1,POSCAR_sg2_icsd_164218
372,F2Na4Ni1O7P2,POSCAR_sg74_icsd_251665
373,Cs2Mn3S4,POSCAR_sg72_icsd_041889
374,As23Cu44Eu7,POSCAR_sg225_icsd_251514
375,Ba1K2N4O8,POSCAR_sg12_icsd_071312
376,C1H6N4O3,POSCAR_sg8_icsd_075221
377,C5Cl6O5Ru2Sn1,POSCAR_sg14_icsd_016149
378,H3B1O3,POSCAR_sg145_icsd_281322
379,C4K2N4Pt1,POSCAR_sg56_icsd_413898
380,H44Cu1N11O18S12,POSCAR_sg122_icsd_418295
381,H1Mg1Na3O8P2,POSCAR_sg2_icsd_081226
382,Mn1O11P4,POSCAR_sg14_icsd_056364
383,Cl4Cu1Ga1,POSCAR_sg112_icsd_300103
384,Mg9Si5,POSCAR_sg173_icsd_251037
385,Ca1Mn1O3,POSCAR_sg123_icsd_168904
386,Dy3Ga1S6,POSCAR_sg36_icsd_629735
387,B3Si1,POSCAR_sg74_icsd_412621
388,Cd6K1O24P7,POSCAR_sg11_icsd_280929
389,Sm1Sn2,POSCAR_sg65_icsd_426767
390,Ba1O7U2,POSCAR_sg141_icsd_022206
391,Ba4Cr2S9U1,POSCAR_sg150_icsd_419086
392,H15Cl5Co1N5Pd1,POSCAR_sg33_icsd_094522
393,H8B4K2O11,POSCAR_sg19_icsd_034648
394,F10Ge1Xe1,POSCAR_sg62_icsd_060107
395,Cl1Mn1S2Sb1,POSCAR_sg62_icsd_151925
396,Cu1Pd2Sn1,POSCAR_sg47_icsd_005027
397,C5H14N2O2,POSCAR_sg14_icsd_110584
398,Al2Fe3Si4,POSCAR_sg63_icsd_083665
399,C26Co8Ge3O26,POSCAR_sg15_icsd_061703
400,H18Al1Br3O18,POSCAR_sg2_icsd_071863
401,F2O5S2,POSCAR_sg114_icsd_066514
402,Cs1F13O3Xe3,POSCAR_sg205_icsd_049680
403,Mn1O11Pb5Sb2,POSCAR_sg63_icsd_099614
404,C2H10Cl2N2Pt1,POSCAR_sg14_icsd_240919
405,P1U1,POSCAR_sg166_icsd_077852
406,B3La1O6,POSCAR_sg15_icsd_020355
407,C28H76As2Bi4Cl4Si8,POSCAR_sg2_icsd_180383
408,H5Cl1N2,POSCAR_sg43_icsd_065334
409,N3O9Sm1,POSCAR_sg15_icsd_192258
410,P3Tc2,POSCAR_sg12_icsd_041016
411,C6Cs2Mn2N6,POSCAR_sg225_icsd_248046
412,Co3F6O6Sb4,POSCAR_sg217_icsd_427046
413,Cu4O10Se3,POSCAR_sg2_icsd_060655
414,Cu4O10Se3,POSCAR_sg14_icsd_060654
415,H4B1Cl1Cu1O4,POSCAR_sg85_icsd_056963
416,Al2Ca1F9K1,POSCAR_sg20_icsd_072460
417,H3Cu1O7V2,POSCAR_sg2_icsd_281323
418,Ca1O4W1,POSCAR_sg88_icsd_248745
419,Cu1K6O8Si2,POSCAR_sg2_icsd_085404
420,H13B3Ca1O12,POSCAR_sg14_icsd_086466
421,C18H36Fe1N10O8Y1,POSCAR_sg14_icsd_251765
422,C6H18Cl3Ru1S3,POSCAR_sg33_icsd_281596
423,N2O1Si2,POSCAR_sg141_icsd_098640
424,N2O1Si2,POSCAR_sg12_icsd_098642
425,H18O10Sr1,POSCAR_sg130_icsd_417100
426,Ag2S3Te1,POSCAR_sg9_icsd_085135
427,Br2Hg1,POSCAR_sg143_icsd_151889
428,Cs4O1Tl2,POSCAR_sg166_icsd_422336
429,H5B1Fe1N1O9P2,POSCAR_sg14_icsd_281010
430,Ce4O4Se3,POSCAR_sg38_icsd_419127
431,F15K3Ta4,POSCAR_sg31_icsd_010430
432,C4H5Na3O8,POSCAR_sg2_icsd_109935
433,Cl3Cu5Na1O8Se2,POSCAR_sg62_icsd_188376
434,Al14Ca12O33,POSCAR_sg220_icsd_241000
435,Al14Ca12O33,POSCAR_sg220_icsd_006287
436,I5Nb1,POSCAR_sg14_icsd_025503
437,I5Nb1,POSCAR_sg2_icsd_010457
438,Ge2In6O9Pt1,POSCAR_sg225_icsd_170897
439,Sb48Te9,POSCAR_sg166_icsd_152189
440,Ba3P4Sn2,POSCAR_sg4_icsd_660381
441,C2Ce2Na2O12Si1Ti1,POSCAR_sg2_icsd_020932
442,Bi2Co1O7S1,POSCAR_sg61_icsd_238176
443,B14Ga3Ni27,POSCAR_sg11_icsd_261502
444,Al7Te10,POSCAR_sg155_icsd_062659
445,Ca1O3Ti1,POSCAR_sg140_icsd_162922
446,Ca1O3Ti1,POSCAR_sg11_icsd_038212
447,Ca1O3Ti1,POSCAR_sg65_icsd_187294
448,C1H13B10F3O3S1,POSCAR_sg14_icsd_238208
449,K2Mo2O11P2,POSCAR_sg60_icsd_079377
450,B8Ni1Rh18Zn10,POSCAR_sg127_icsd_050497
451,C30O33Os11,POSCAR_sg14_icsd_073751
452,Bi5Cl12Ga3,POSCAR_sg167_icsd_081468
453,Bi5Cl12Ga3,POSCAR_sg161_icsd_414089
454,Am1I2,POSCAR_sg14_icsd_009474
455,Bi4Pb7Se13,POSCAR_sg12_icsd_427411
456,Au2Dy2Sn1,POSCAR_sg136_icsd_658828
457,Ni4Sn13Yb7,POSCAR_sg83_icsd_420766
458,Ce1I4Sm1,POSCAR_sg15_icsd_413995
459,Au1Cs1F4,POSCAR_sg71_icsd_152056
