,sorted_name,Model,Model_Type,Specifier,Value,Temperature_Value,Value_Average,Temperature_Average
20836,OZn,Conductivity,,electrical conductivity,[79400000.0],[373.0],79400000.0,373.0
20837,OZn,Conductivity,,electrical conductivity,[5495.0],[373.0],5495.0,373.0
20838,OZn,Conductivity,,electrical conductivity,[421.0],[373.0],421.0,373.0
20839,BiCoZr,Conductivity,,electrical conductivity,[0.00114],[295],0.0011400000000000002,295.0
20840,SbZn,Conductivity,,conductivity,[9100.0],[295],9100.0,295.0
20841,Cu7Se4,Conductivity,ionic,ion conductivity,[3.0],[295],3.0,295.0
20842,Bi2Te3,Conductivity,,electrical conductivity,[10300.0],[300.0],10300.0,300.0
20843,Sb2Te3,Conductivity,,maximum electrical conductivity,[7145.999999999999],[320.0],7146.0,320.0
20844,CoSnTa,Conductivity,,electrical conductivity,[1051.0],[300.0],1051.0,300.0
20845,BiRhZr,Conductivity,,electrical conductivity,[1041.0],[300.0],1041.0,300.0
20846,LaMo8O14,Conductivity,,electrical conductivity,[12000.0],[295],12000.0,295.0
20847,CeMo8O14,Conductivity,,electrical conductivity,[53200.0],[295],53200.0,295.0
20848,Mo8NdO14,Conductivity,,electrical conductivity,[30300.0],[295],30300.0,295.0
20849,Mo8O14Sm,Conductivity,,electrical conductivity,[34000.0],[295],34000.0,295.0
20850,Ga2O3,Conductivity,,conductivity,[1.0],[295],1.0,295.0
20851,LaMo8O14,Conductivity,,electrical conductivity,[100.0],[295],100.0,295.0
20852,CeMo8O14,Conductivity,,electrical conductivity,[960.0],[295],960.0,295.0
20853,Mo8O14Pr,Conductivity,,electrical conductivity,[2170.0],[295],2170.0,295.0
20854,Mo8NdO14,Conductivity,,electrical conductivity,[2920.0],[295],2920.0,295.0
20855,Mo8O14Sm,Conductivity,,electrical conductivity,[4950.0],[295],4950.0,295.0
20857,GePdZr,Conductivity,,electrical conductivity,[3.61018],[295],3.61018,295.0
20858,AlB14Mg,Conductivity,,electrical conductivity,[-11.0],[295],-11.0,295.0
20859,OZn,Conductivity,,electrical conductivity,[0.3],[300.0],0.30000000000000004,300.0
20860,BiSb,Conductivity,,σ,[500000.0],[300.0],500000.0,300.0
20861,ClCs2Ge,Conductivity,,electrical conductivity,[4.5e+17],[50.0],4.5e+17,50.0
20862,Ag95Br27I8Te30,Conductivity,,conductivity,[1.1],[323.0],1.1,323.0
20863,AsIrZr,Conductivity,,electrical conductivity,[1020.0],[800.0],1020.0,800.0
20864,O4SnZn2,Conductivity,,electrical conductivity,"[390.0, 10170.0]",[295],5280.0,295.0
20867,Bi2S3,Conductivity,,electrical conductivity,[0.001],[295],0.001,295.0
20868,CuFeO2,Conductivity,,conductivity,[153.0],[295],153.0,295.0
20869,IMO2S2,Conductivity,ionic,ionic conductivity,[0.6],[295],0.6000000000000001,295.0
20870,InSe,Conductivity,,conductivity,[100.0],[295],100.0,295.0
20871,Ba50Cu287Se23Te327,Conductivity,,σ,[68500.0],[295],68500.0,295.0
20872,Ba10Cu59Se10Te60,Conductivity,,σ,[24200.0],[295],24200.0,295.0
20873,AlB14Mg,Conductivity,,electrical conductivity,[1.0],[295],1.0,295.0
20874,CoSb3,Conductivity,,electrical conductivity,[80000.0],[700.0],80000.0,700.0
20875,Sb2Te3,Conductivity,,σ,[105.0],[300.0],105.0,300.0
20876,Sb2Te3,Conductivity,,electrical conductivity,[105.0],[300.0],105.0,300.0
20877,Sb2Te3,Conductivity,,σ,[105.0],[300.0],105.0,300.0
20878,Sb2Te3,Conductivity,,electrical conductivity,[24900.000000000004],[420.0],24900.0,420.0
20879,B4Li2O7,Conductivity,,conductivity,"[10.0, 10.0]",[295],10.0,295.0
20880,Ag2Te,Conductivity,,σ,[105.0],[295],105.0,295.0
20881,Ag2Te,Conductivity,,σ,[104.0],[295],104.0,295.0
20882,Ag2Te,Conductivity,,σ,[104.0],[650.0],104.0,650.0
20883,Ag2Te,Conductivity,,σ,[102.0],[295],102.0,295.0
20884,Ag18Te11Tl4,Conductivity,,electrical conductivity,[900.0],[435.0],900.0,435.0
20885,Ag360Te220Tl81,Conductivity,,electrical conductivity,[1300.0],[435.0],1300.0,435.0
20886,Ag360Te219Tl80,Conductivity,,electrical conductivity,[3100.0],[380.0],3100.0,380.0
20887,SbTe2Tl,Conductivity,,electrical conductivity,[75000.0],[380.0],75000.0,380.0
20888,AgSbTe2,Conductivity,,electrical conductivity,[37900.0],[380.0],37900.0,380.0
20889,AgSbTe2,Conductivity,,electrical conductivity,[34000.0],[520.0],34000.0,520.0
20890,SbTe2Tl,Conductivity,,electrical conductivity,[28000.0],[520.0],28000.0,520.0
20891,SbTe2Tl,Conductivity,,electrical conductivity,[30000.0],[380.0],30000.0,380.0
20892,Bi2SnTe4,Conductivity,,electrical conductivity,[67500.0],[380.0],67500.0,380.0
